"성별","연도","교육","지역","월급"
2,2001,6,1,NA
1,2002,5,1,NA
1,1962,7,1,675
2,1961,7,1,NA
2,1986,7,1,NA
1,1980,7,1,517
1,1992,7,2,512
1,1943,5,1,NA
2,1946,5,1,NA
1,1940,6,1,NA
2,1942,3,1,NA
2,1947,4,7,NA
1,1958,5,7,NA
2,1954,3,1,NA
1,1942,5,1,NA
2,1947,5,1,NA
1,1975,5,1,343
2,1981,7,1,161
1,2011,3,1,NA
1,2013,3,1,NA
1,2017,1,1,NA
2,1944,3,1,27
2,1935,2,2,NA
2,1936,4,1,NA
2,1959,5,7,91
1,1945,3,1,NA
2,1947,3,1,NA
1,1963,5,1,297
2,1960,4,1,280
1,1955,7,1,105
2,1956,5,1,NA
2,1987,7,1,NA
1,1981,7,1,1417
2,2016,1,1,NA
2,1989,7,1,NA
1,1989,7,1,345
1,1956,4,5,NA
2,1940,3,1,NA
1,1971,5,1,37
2,1939,2,7,NA
2,1964,4,7,NA
1,1952,5,7,NA
1,1956,5,1,NA
2,1964,5,1,159
2,1992,6,1,242
2,1995,5,1,80
1,1963,5,1,1200
2,1967,5,1,200
2,1992,7,1,300
2,1994,6,1,310
1,2003,5,1,NA
1,1939,5,1,NA
2,1946,4,1,NA
1,1967,7,1,735
2,1966,5,1,NA
1,1993,6,1,260
1,1996,7,1,180
1,1970,5,7,NA
2,1942,3,7,NA
1,1948,3,1,NA
2,1953,4,1,68
1,1981,6,1,800
2,1985,7,1,NA
2,2019,1,1,NA
1,1969,7,2,678
2,1971,7,2,167
1,1998,6,2,143
2,2001,6,2,228
1,1974,5,1,606
2,1976,5,1,NA
1,2005,5,1,NA
2,2007,4,1,NA
1,1971,7,7,750
2,1979,7,7,558
1,2005,4,7,NA
1,2007,4,7,NA
1,2013,3,7,NA
1,1969,5,2,NA
2,1969,5,2,232
2,2001,6,2,210
2,2002,7,2,NA
1,1970,9,1,2017
2,1971,7,1,NA
1,1997,7,1,NA
2,2003,5,1,NA
2,1960,9,2,167
2,1957,4,1,210
2,1985,7,1,225
2,1982,7,1,323
1,1982,7,1,638
2,2014,3,1,NA
2,2017,1,1,NA
1,1949,5,1,NA
2,1952,4,1,NA
1,1972,6,1,NA
1,1974,7,2,634
2,1977,6,2,NA
2,2013,3,2,NA
2,1940,5,1,NA
1,1941,7,1,NA
2,1942,5,1,NA
1,1953,7,1,395
2,1956,7,1,NA
1,1952,5,1,NA
2,1956,5,1,NA
1,1983,7,1,NA
1,1952,7,1,NA
2,1950,6,1,NA
1,1982,7,1,452
2,1986,5,1,192
2,1938,7,1,NA
2,1936,4,1,NA
1,1967,7,1,1250
2,1971,7,1,NA
2,2003,5,1,NA
2,2006,4,1,NA
1,1956,4,1,295
2,1956,4,1,NA
1,1947,4,2,NA
2,1953,3,2,NA
1,1963,8,2,570
2,1966,7,2,NA
2,1999,7,2,210
1,2001,7,2,NA
1,2005,5,2,NA
1,1944,7,1,NA
2,1946,3,1,NA
2,1940,3,1,NA
2,1972,7,1,NA
2,1951,2,1,NA
2,1972,7,1,667
1,1971,6,1,380
1,1974,6,2,509
2,1978,6,2,426
2,1952,6,1,208
2,1952,3,2,27
1,1979,5,2,NA
2,1979,7,2,215
1,2017,1,2,NA
1,1977,8,1,672
2,1975,9,1,NA
1,2010,3,1,NA
1,2016,1,1,NA
2,1963,5,2,NA
2,1990,7,2,230
2,1992,7,2,320
2,1979,7,1,300
1,1979,7,1,717
2,2012,3,1,NA
2,1944,4,1,27
2,1942,3,1,NA
1,1974,5,1,NA
2,1974,5,1,NA
2,2006,4,1,NA
1,2010,3,1,NA
1,1964,6,1,358
2,1968,6,1,330
2,2001,6,1,NA
2,2003,5,1,NA
1,2005,5,1,NA
1,1977,5,2,411
2,1977,6,2,196
2,2001,6,2,NA
1,1961,5,1,344
2,1963,5,1,100
1,1990,6,1,312
1,1995,5,1,233
1,1959,5,1,383
2,1963,5,1,NA
1,1990,6,1,313
2,1989,6,2,390
1,1985,7,2,327
1,1973,6,2,673
2,1971,5,2,220
1,2003,5,2,NA
2,2007,4,2,NA
1,1975,7,2,277
2,1977,6,2,202
1,2003,5,2,NA
1,2006,4,2,NA
1,1962,7,1,667
2,1968,7,1,192
2,1995,7,1,230
1,1997,7,1,NA
1,1973,5,1,290
2,1974,5,1,206
2,2008,4,1,NA
1,1975,6,1,NA
2,1975,5,1,NA
2,2003,5,1,NA
2,2008,4,1,NA
1,1978,5,2,463
2,1978,6,2,NA
2,2007,4,2,NA
2,2010,3,2,NA
1,1961,5,1,NA
2,1963,5,1,62
1,1993,6,1,315
1,1974,5,1,302
1,1942,4,1,200
2,1945,4,1,NA
2,1975,5,1,196
